mitigation_group,model_type,trials,mean,median,best,std
none,Bagging,1,0.26057526011154153,0.26057526011154153,0.26057526011154153,
none,XGBoost,1,0.32956678866916617,0.32956678866916617,0.32956678866916617,
sampler_only,Bagging,65,0.39927195961824474,0.4032105479737964,0.405121828621531,0.014259443639164768
sampler_only,CatBoost,196,0.4148466889649626,0.41674733993614554,0.41895751860293495,0.006587329192994045
sampler_only,RandomForest,54,0.3970550764416374,0.398297139549389,0.40269917767509916,0.005312243178635395
sampler_only,XGBoost,147,0.39826496226435176,0.3997378266464152,0.4028945526379686,0.006732498677487559
weights_only,Bagging,4,0.36866993659791153,0.3925435835931971,0.3991739554727265,0.05241489136439818
weights_only,CatBoost,4,0.3752358976741285,0.38298325182127,0.41603376759277577,0.04179042024134018
weights_only,RandomForest,1,0.3650512951323856,0.3650512951323856,0.3650512951323856,
weights_only,XGBoost,7,0.39428481135488874,0.39416694487232895,0.39607947650522257,0.0009410341266535393
