model_type,sampler_category,trials,mean,median,best,std
Bagging,smote_tomek,46,0.40261033680922526,0.4039764981551413,0.405121828621531,0.00654610824567414
Bagging,smote,9,0.40023922750459384,0.4006713008234318,0.40331294079088775,0.0018666583378586382
Bagging,smote_enn,5,0.3947786464178251,0.3961241780005009,0.4008978777521614,0.006193081894296554
Bagging,random_over,2,0.3876889037126309,0.3876889037126309,0.3976280576858498,0.014056086347440622
Bagging,random_under,1,0.3792867082524307,0.3792867082524307,0.3792867082524307,
Bagging,class_weights,4,0.36866993659791153,0.3925435835931971,0.3991739554727265,0.05241489136439818
Bagging,adasyn,2,0.3509455433266905,0.3509455433266905,0.3996558475729091,0.06888677289232216
Bagging,none,1,0.26057526011154153,0.26057526011154153,0.26057526011154153,
CatBoost,smote,110,0.41634656858879954,0.41682143091749796,0.41895751860293495,0.002927990363057535
CatBoost,smote_tomek,80,0.41501046895057847,0.41674733993614554,0.4173533072321078,0.004838440658574424
CatBoost,random_under,2,0.38892044736951714,0.38892044736951714,0.392641793706471,0.005262778460007617
CatBoost,random_over,2,0.38700111090822176,0.38700111090822176,0.3885735339327596,0.0022237419670891653
CatBoost,smote_enn,2,0.37957392988148025,0.37957392988148025,0.3820275039245143,0.0034698776879453198
CatBoost,class_weights,4,0.3752358976741285,0.38298325182127,0.41603376759277577,0.04179042024134018
RandomForest,smote_tomek,18,0.3988532672823811,0.40027802163818726,0.4022920331572109,0.004895314926598742
RandomForest,smote_enn,26,0.3979093152274411,0.3979264007315379,0.40269917767509916,0.002879680694661037
RandomForest,random_over,5,0.3962566937204623,0.39717774420236607,0.39885353822030006,0.003159659081843148
RandomForest,smote,3,0.391506682636342,0.39015630085553005,0.3984911526217078,0.0064167476897225755
RandomForest,random_under,2,0.38008480217037816,0.38008480217037816,0.3823177436126611,0.0031578560716614464
RandomForest,class_weights,1,0.3650512951323856,0.3650512951323856,0.3650512951323856,
XGBoost,random_over,63,0.4005687139999682,0.4018738805240359,0.4028945526379686,0.0038048573591312374
XGBoost,smote_enn,74,0.3987104986017976,0.3994057735390891,0.40152996781439754,0.004167464390825235
XGBoost,class_weights,7,0.39428481135488874,0.39416694487232895,0.39607947650522257,0.0009410341266535393
XGBoost,smote,2,0.3877738927513712,0.3877738927513712,0.39863776463681394,0.015363834960276896
XGBoost,random_under,4,0.3835177581144591,0.3836702378909812,0.38575492492400376,0.0022244636295176254
XGBoost,smote_tomek,4,0.37373118909202896,0.37434303537921576,0.3831734496832575,0.010872735685690575
XGBoost,none,1,0.32956678866916617,0.32956678866916617,0.32956678866916617,
