model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,balanced_accuracy,roc_auc_macro_ovr,roc_auc_weighted_ovr,pr_auc_macro_ovr,pr_auc_weighted_ovr
xgboost,0.4881,0.4193,0.4745,0.4067,0.601,0.4881,0.5071,0.2888,0.4745,0.7593,0.7388,0.4186,0.5964
Hard Voting,0.5037,0.433,0.4747,0.4058,0.6191,0.5037,0.5139,0.3147,0.4747,,,,
bagging,0.4947,0.4321,0.4798,0.4052,0.6206,0.4947,0.5086,0.3079,0.4798,0.752,0.7245,0.4111,0.5877
Soft Voting,0.5082,0.4327,0.4669,0.4035,0.6187,0.5082,0.5169,0.3173,0.4669,0.766,0.7451,0.4203,0.6002
randomforest,0.502,0.4209,0.457,0.4022,0.6079,0.502,0.515,0.3028,0.457,0.7511,0.7225,0.4128,0.5873
catboost,0.5301,0.4228,0.4299,0.3943,0.5996,0.5301,0.5293,0.3185,0.4299,0.7578,0.7342,0.4094,0.5881
stacking,0.5515,0.3669,0.3394,0.3204,0.5096,0.5515,0.5039,0.203,0.3394,0.7538,0.7293,0.4139,0.5903
logistic_regression,0.5526,0.4203,0.3529,0.3075,0.5447,0.5526,0.4998,0.2462,0.3529,0.7357,0.7295,0.4014,0.5879
dummy,0.5466,0.1366,0.25,0.1767,0.2987,0.5466,0.3863,0.0,0.25,0.5,0.5,0.25,0.3855
